donor_state,candidates_state,num_donations,total_amount
MO,CT,1,-2
MO,DE,3,2500
MO,FL,177,106781
MO,GA,14,9245
MO,HI,6,1835
MO,IA,43,27700
MO,ID,3,3000
MO,IL,105,81750
MO,IN,114,132710
MO,KS,31,37890
MO,KY,21,34100
MO,LA,3,3500
MO,MA,10,8000
MO,MD,8,6775
MO,MI,50,33925
MO,MN,104,46681
MO,MT,84,97337
MO,NC,15,8550
MO,ND,14,9928
MO,NE,34,43150
MO,NH,1,500
MO,NJ,21,11550
MO,NM,26,34385
MO,NV,18,13925
MO,NY,39,26540
MO,OH,158,136494
MO,OK,1,250
MO,OR,9,7350
MO,PA,19,15415
MO,SC,2,500
MO,SD,12,7550
MO,TN,6,7250
MO,TX,39,38600
MO,UT,16,7700
MO,VA,65,63125
MO,VT,14,4100
MO,WA,10,4700
MO,WI,54,26450
MO,WV,8,5800
MS,AL,2,1250
MS,AR,7,4300
MS,AZ,5,3450
MS,CA,22,15750
MS,CT,4,3500
MS,FL,55,24895
MS,GA,12,5470
MS,HI,1,200
MS,IA,9,7400
MS,ID,3,2500
MS,IL,7,5550
MS,IN,19,13675
MS,KS,38,11750
MS,KY,5,3700
MS,LA,13,19100
MS,MD,2,3000
MS,ME,1,250
MS,MI,3,2650
MS,MN,25,16635
MS,MO,4,1586
MS,MT,14,16355
MS,NC,4,3250
MS,ND,14,10139
MS,NE,6,2900
MS,NJ,5,3000
MS,NM,3,3000
MS,NV,12,7525
MS,NY,10,5450
MS,OH,24,28201
MS,OR,14,6000
MS,PA,10,4500
MS,SC,5,7500
MS,SD,2,400
MS,TN,2,5500
MS,TX,13,8850
MS,UT,5,1950
MS,VA,4,5500
MS,WA,1,300
MS,WI,12,3628
MS,WV,5,5500
MT,AR,1,500
MT,AZ,3,3250
MT,CA,14,8500
MT,CO,2,2000
MT,CT,1,250
MT,FL,35,18801
MT,GA,5,3450
MT,HI,3,1250
MT,IA,4,3000
MT,ID,1,500
MT,IL,5,5700
MT,IN,5,1400
MT,KS,1,1000
MT,KY,1,1000
MT,LA,2,5000
MT,MA,1,250
MT,MI,2,500
MT,MN,25,12051
MT,NC,1,250
MT,ND,18,5950
MT,NE,1,500
MT,NH,1,500
MT,NJ,1,250
MT,NM,8,3700
MT,NV,5,3400
MT,NY,6,4250
MT,OH,20,8722
MT,OR,4,4550
MT,PA,1,1000
MT,SD,1,500
MT,TX,1,700
MT,UT,3,5250
MT,VA,2,750
MT,VT,3,1250
MT,WA,2,3000
MT,WI,9,2000
NC,AL,2,1246
NC,AR,4,1750
NC,AZ,31,13950
NC,CA,48,42300
NC,CO,8,5103
NC,CT,4,2650
NC,DE,7,3750
NC,FL,183,104857
NC,GA,30,11515
NC,GU,1,500
NC,HI,22,7728
NC,IA,21,10200
NC,ID,4,4000
NC,IL,40,18162
NC,IN,54,39844
NC,KY,23,13671
NC,LA,3,4000
NC,MA,25,23405
NC,MD,20,8243
NC,ME,2,1000
NC,MI,38,24150
NC,MN,125,52650
NC,MO,3,3250
NC,MS,1,500
NC,MT,19,21528
NC,ND,15,12700
NC,NE,4,4750
NC,NH,9,5400
NC,NJ,19,18610
NC,NM,13,7278
NC,NV,28,23141
NC,NY,28,20931
NC,OH,131,64578
NC,OK,2,750
NC,OR,8,4700
NC,PA,18,13850
NC,SC,85,68450
NC,SD,11,6150
NC,TN,5,6750
NC,TX,41,27656
NC,UT,9,3550
NC,VA,63,46778
NC,VT,7,1975
NC,WA,20,14500
NC,WI,68,32376
NC,WV,4,2750
ND,AR,1,200
ND,AZ,3,1250
ND,CA,6,3000
ND,FL,4,2500
ND,GA,1,500
ND,IA,1,200
ND,ID,1,500
ND,IN,1,200
ND,LA,1,-2500
ND,MA,1,500
ND,MI,3,2500
ND,MN,47,22701
ND,MT,8,2400
ND,NC,1,250
ND,NJ,1,500
ND,NM,1,500
ND,NV,6,10750
ND,NY,3,4000
ND,OH,11,6800
ND,OK,2,550
ND,PA,1,1000
ND,SD,4,1700
ND,TX,4,900
ND,UT,2,500
ND,VA,1,500
ND,VT,4,800
ND,WA,1,500
ND,WI,5,2250
NE,AR,1,500
NE,AZ,5,1300
NE,CA,9,5750
NE,FL,63,33239
NE,GA,5,570
NE,HI,2,500
NE,IA,53,36975
NE,ID,1,1000
NE,IL,9,6300
NE,IN,16,13050
NE,KS,1,1000
NE,KY,1,250
NE,LA,1,250
NE,MA,3,6500
NE,MD,2,500
NE,ME,1,1000
NE,MI,2,1000
NE,MN,39,14358
NE,MO,4,8250
NE,MT,9,7725
NE,ND,11,12250
NE,NJ,1,200
NE,NM,2,1500
NE,NV,10,7075
NE,NY,6,2250
NE,OH,24,19800
NE,OR,6,1200
NE,PA,4,2000
NE,SD,10,8050
NE,TX,2,2900
NE,UT,5,3350
NE,VA,2,750
NE,VT,6,2700
NE,WA,4,3500
NE,WI,17,7700
NE,WY,1,250
NH,AR,5,1600
NH,AZ,5,2350
NH,CA,10,5450
NH,CT,11,7750
NH,FL,46,34295
NH,GA,1,300
NH,HI,7,2800
NH,IA,10,7600
NH,IL,7,6200
NH,IN,15,8900
NH,KS,1,500
NH,KY,2,3500
NH,MA,41,31883
NH,MD,5,1750
NH,ME,9,8230
NH,MI,13,7500
NH,MN,24,13225
NH,MO,2,1000
NH,MT,7,3250
NH,NC,5,10300
NH,ND,6,6150
NH,NE,4,10000
NH,NJ,14,15700
NH,NM,12,12250
NH,NV,10,6650
NH,NY,14,10850
NH,OH,58,27249
NH,OR,1,500
NH,PA,12,4900
NH,SC,3,1600
NH,SD,3,1500
NH,TN,1,2500
NH,TX,13,4950
NH,UT,2,3291
NH,VA,11,8000
NH,VT,14,5500
NH,WA,4,1200
NH,WI,29,11100
NH,WV,1,500
NH,WY,1,500
NJ,AL,9,10700
NJ,AR,9,13500
NJ,AS,1,1500
NJ,AZ,51,21830
NJ,CA,152,117184
NJ,CO,4,1550
NJ,CT,48,31270
NJ,DC,1,1000
NJ,DE,27,38166
NJ,FL,364,302021
NJ,GA,22,9043
NJ,HI,41,19550
NJ,IA,80,76133
NJ,ID,6,6000
NJ,IL,117,75500
NJ,IN,117,114425
NJ,KY,37,54500
NJ,LA,1,250
NJ,MA,48,52800
NJ,MD,74,81800
NJ,ME,12,12825
NJ,MI,93,72400
NJ,MN,178,127414
NJ,MO,26,11950
NJ,MS,5,1800
NJ,MT,34,49286
NJ,NC,23,22500
NJ,ND,112,107356
NJ,NE,68,45250
NJ,NH,50,44550
NJ,NM,50,54270
NJ,NV,196,168945
NJ,NY,529,446358
NJ,OH,274,209151
NJ,OK,1,1000
NJ,OR,27,15111
NJ,PA,201,154538
NJ,RI,3,1000
NJ,SC,32,16919
NJ,SD,16,13200
NJ,TN,8,8423
NJ,TX,91,86325
NJ,UT,21,10004
NJ,VA,101,111353
NJ,VT,36,12075
NJ,WA,45,48300
NJ,WI,215,86938
NJ,WV,5,2250
NJ,WY,4,2750
NM,AL,3,2000
NM,AR,2,5000
NM,AZ,35,29878
NM,CA,35,26011
NM,CO,9,6300
NM,CT,1,1000
NM,DE,1,1000
NM,FL,86,43678
NM,GA,2,2651
NM,HI,9,8000
NM,IA,27,12900
NM,IL,34,15000
NM,IN,31,25066
NM,KY,6,11400
NM,LA,1,1000
NM,MA,1,1000
NM,MD,5,3700
NM,ME,2,750
NM,MI,15,14350
NM,MN,40,20050
NM,MO,5,7500
NM,MT,12,9700
NM,NC,3,1250
NM,ND,32,25825
NM,NE,1,2500
NM,NH,5,3556
NM,NJ,13,10250
NM,NV,18,13928
NM,NY,9,3300
NM,OH,108,42944
NM,OK,1,250
NM,OR,4,1900
NM,PA,4,3400
NM,SC,1,2500
NM,SD,1,250
NM,TN,1,500
NM,TX,29,27012
NM,UT,6,1700
NM,VA,22,15525
NM,VT,29,11775
NM,WA,13,6550
NM,WI,117,47300
NV,AL,4,6500
NV,AR,4,3950
NV,AS,1,2500
NV,AZ,26,19650
NV,CA,83,84693
NV,CO,13,18200
NV,CT,1,500
NV,DE,1,2500
NV,FL,90,57375
NV,GA,20,4700
NV,HI,4,1150
NV,IA,15,14850
NV,IL,16,14500
NV,IN,26,35000
NV,KS,1,500
NV,KY,11,19250
NV,MA,5,6750
NV,MD,13,7075
NV,MI,29,30720
NV,MN,75,63752
NV,MO,2,3500
NV,MS,1,1000
NV,MT,18,26950
NV,NC,7,9800
NV,ND,17,13800
NV,NE,7,8900
NV,NH,1,333
NV,NJ,28,33050
NV,NM,15,19425
NV,NY,20,24600
NV,OH,78,79355
NV,OK,2,550
NV,OR,15,13250
NV,PA,13,10850
NV,SC,3,5500
NV,SD,5,4000
NV,TX,28,33850
NV,UT,20,15000
NV,VA,20,19635
NV,VT,9,4300
NV,WA,22,19750
NV,WI,20,15500
NV,WV,1,250
NY,AL,55,57550
NY,AR,25,30100
NY,AZ,176,113161
NY,CA,560,520156
NY,CO,98,103970
NY,CT,386,380888
NY,DE,47,62900
NY,FL,1215,895950
NY,GA,54,52651
NY,HI,194,142677
NY,IA,259,237616
NY,ID,13,7950
NY,IL,505,345500
NY,IN,458,424573
NY,KS,6,2500
NY,KY,199,341716
NY,LA,9,10500
NY,MA,266,234637
NY,MD,240,250639
NY,ME,90,141400
NY,MI,430,457120
NY,MN,611,416349
NY,MO,24,26600
NY,MS,11,11800
NY,MT,199,305297
NY,NC,62,53400
NY,ND,369,360147
NY,NE,121,94992
NY,NH,216,165433
NY,NJ,1000,1187980
NY,NM,269,328239
NY,NV,636,611589
NY,OH,1428,1221505
NY,OK,2,1300
NY,OR,113,142226
NY,PA,254,154942
NY,PR,2,800
NY,RI,9,2200
NY,SC,47,44943
NY,SD,93,95686
NY,TN,35,43547
NY,TX,279,298345
NY,UT,67,45750
NY,VA,574,648104
NY,VT,183,64263
NY,WA,222,219883
NY,WI,1272,848018
NY,WV,7,5750
NY,WY,6,4800
OH,AL,2,2500
OH,AR,6,4450
OH,AZ,32,14550
OH,CA,34,25140
OH,CO,12,10400
OH,CT,7,11280
OH,DC,1,250
OH,DE,3,3500
OH,FL,295,208637
OH,GA,40,24004
OH,HI,15,4550
OH,IA,52,39092
OH,ID,25,28600
OH,IL,66,43828
OH,IN,126,116750
OH,KS,9,16750
OH,KY,79,100825
OH,LA,4,2250
OH,MA,17,11500
OH,MD,22,16950
OH,ME,4,1900
OH,MI,118,109916
OH,MN,165,83986
OH,MO,2,500
OH,MT,54,62975
OH,NC,14,12750
OH,ND,55,49350
OH,NE,27,26520
OH,NH,13,7750
OH,NJ,22,29890
OH,NM,34,49300
OH,NV,158,149668
OH,NY,61,40020
OH,OK,2,3000
OH,OR,13,11770
OH,PA,64,60757
OH,RI,1,200
OH,SC,6,4650
OH,SD,34,25400
OH,TN,1,250
OH,TX,65,63350
OH,UT,31,20905
OH,VA,39,29557
OH,VT,28,8965
OH,WA,35,39770
OH,WI,181,81720
OH,WV,51,54200
OH,WY,1,1000
OK,AK,1,300
OK,AL,2,3000
OK,AR,8,10750
OK,AZ,8,3250
OK,CA,40,51690
OK,CO,7,3900
OK,CT,2,5000
OK,DE,2,600
OK,FL,87,60005
OK,GA,7,4770
OK,HI,6,2875
OK,IA,28,21150
OK,ID,3,5750
OK,IL,20,17000
OK,IN,41,29776
OK,KS,12,14050
OK,KY,12,11500
OK,LA,2,2500
OK,MA,2,1550
OK,MD,17,13145
OK,ME,1,1000
OK,MI,39,31050
OK,MN,77,42167
OK,MO,10,16816
OK,MS,2,750
OK,MT,67,102500
OK,NC,6,5750
OK,ND,113,101050
OK,NE,35,37050
OK,NH,1,200
OK,NJ,3,3950
OK,NM,57,48783
OK,NV,26,31575
OK,NY,20,18000
OK,OH,135,171157
OK,OR,7,3200
OK,PA,18,13200
OK,SD,6,5250
OK,TX,30,23386
OK,UT,16,10450
OK,VA,14,10655
OK,VT,3,2975
OK,WA,12,9550
OK,WI,22,14950
OK,WV,4,6300
OK,WY,2,1250
OR,AR,7,13100
OR,AZ,14,12200
OR,CA,49,38600
OR,CO,3,1300
OR,CT,3,1000
OR,DE,6,2250
OR,FL,116,43438
OR,GA,3,420
OR,HI,16,14650
OR,IA,22,22150
OR,ID,6,2800
OR,IL,26,13657
OR,IN,24,20250
OR,KY,7,10650
OR,LA,1,250
OR,MA,7,2500
OR,MD,1,2500
OR,MI,24,10700
OR,MN,92,35932
OR,MO,3,1500
OR,MT,10,7200
OR,NC,5,5250
OR,ND,18,5774
OR,NE,4,4000
OR,NH,6,6700
OR,NJ,13,6200
OR,NM,3,1450
OR,NV,33,16115
OR,NY,24,9700
OR,OH,163,142625
OR,PA,10,6200
OR,SD,8,2700
OR,TN,1,250
OR,TX,16,6339
OR,UT,5,1550
OR,VA,26,18200
OR,VT,32,8727
OR,WA,141,107502
OR,WI,75,30410
OR,WV,1,1000
PA,AL,4,1450
PA,AR,15,10700
PA,AS,1,2500
PA,AZ,52,36150
PA,CA,120,99774
PA,CO,12,6250
PA,CT,37,12425
PA,DE,79,53376
PA,FL,379,303910
PA,GA,36,24514
PA,HI,38,13350
PA,IA,96,78000
PA,ID,17,16850
PA,IL,118,80690
PA,IN,118,112797
PA,KS,1,2500
PA,KY,55,52075
PA,LA,7,3250
PA,MA,27,35350
PA,MD,46,30629
PA,ME,13,10450
PA,MI,110,102350
PA,MN,253,156401
PA,MO,11,21250
PA,MT,68,58309
PA,NC,25,12874
PA,ND,90,66587
PA,NE,27,32090
PA,NH,52,31840
PA,NJ,320,238066
PA,NM,60,45887
PA,NV,134,92617
PA,NY,116,73250
PA,OH,500,452524
PA,OK,1,500
PA,OR,28,20950
PA,PR,2,500
PA,RI,1,250
PA,SC,23,10300
PA,SD,21,23750
PA,TN,3,1500
PA,TX,141,117924
PA,UT,16,10750
PA,VA,92,73295
PA,VT,48,13374
PA,WA,77,75899
PA,WI,275,149900
PA,WV,73,75200
PA,WY,1,500
PR,FL,43,60718
PR,GU,1,500
PR,HI,1,1000
PR,IL,8,8300
PR,MA,1,500
PR,MN,3,750
PR,MO,1,1000
PR,NJ,77,112950
PR,NY,4,4500
PR,OH,2,1000
PR,PA,1,1000
PR,TX,1,1000
PR,WV,15,10532
PW,FL,1,250
RI,AZ,1,250
RI,CA,7,2450
RI,CT,20,16200
RI,FL,40,18900
RI,GA,4,700
RI,HI,1,1000
RI,IA,6,9200
RI,ID,1,500
RI,IL,7,3000
RI,IN,13,7450
RI,KY,6,3700
RI,MA,43,33643
RI,MD,2,1250
RI,ME,1,250
RI,MI,8,2970
RI,MN,15,5633
RI,MT,4,4300
RI,NC,3,4500
RI,ND,3,2450
RI,NE,9,7350
RI,NH,10,3450
RI,NJ,6,4650
RI,NV,7,3250
RI,NY,8,2400
RI,OH,35,20026
RI,OR,1,500
RI,PA,5,1450
RI,SC,1,250
RI,SD,1,1000
RI,TN,2,1000
RI,TX,8,3650
RI,UT,4,2500
RI,VA,14,17250
RI,VT,6,4225
RI,WA,7,6450
RI,WI,17,8950
SC,AL,1,2500
SC,AR,7,6500
SC,AZ,12,7000
SC,CA,17,10650
SC,CO,2,500
SC,CT,7,2200
SC,DE,5,2000
SC,FL,96,53545
SC,GA,18,8012
SC,HI,10,10150
SC,IA,12,8250
SC,ID,8,2336
SC,IL,13,7250
SC,IN,25,19505
SC,KY,4,4500
SC,LA,1,2500
SC,MA,7,10210
SC,MD,15,7761
SC,ME,2,750
SC,MI,6,1750
SC,MN,68,28685
SC,MO,4,6250
SC,MT,4,4850
SC,NC,60,58875
SC,ND,24,20950
SC,NE,1,250
SC,NH,2,2250
SC,NJ,14,7716
SC,NM,9,5800
SC,NV,27,18673
SC,NY,34,23300
SC,OH,53,36474
SC,OR,6,2450
SC,PA,9,5400
SC,SD,2,4000
SC,TN,2,5000
SC,TX,34,21841
SC,UT,6,4250
SC,VA,35,31200
SC,VT,4,800
SC,WA,13,8533
SC,WI,35,24000
SD,AR,3,3000
SD,AZ,3,1950
SD,CA,7,6050
SD,CO,2,500
SD,FL,24,10000
SD,GA,4,1520
SD,IA,23,28750
SD,IL,2,1250
SD,IN,21,17046
SD,KS,2,1000
SD,KY,3,3750
SD,LA,1,1000
SD,MD,1,250
SD,MI,3,800
SD,MN,26,9400
SD,MO,4,4500
SD,MT,5,5500
SD,ND,30,22150
SD,NE,2,0
SD,NJ,2,5000
SD,NM,1,500
SD,NV,4,1700
SD,NY,8,3000
SD,OH,40,35375
SD,OR,4,2000
SD,PA,2,-599
SD,SC,3,2000
SD,TX,13,11650
SD,UT,3,1000
SD,VA,1,250
SD,VT,3,1050
SD,WA,2,5000
SD,WI,4,1500
TN,AL,6,3175
TN,AR,14,15000
TN,AZ,11,4030
TN,CA,35,45300
TN,CO,5,10200
TN,CT,2,750
TN,DE,4,3000
TN,FL,169,91364
TN,GA,16,14360
TN,HI,9,6550
TN,IA,43,46700
TN,ID,3,2500
TN,IL,28,21850
TN,IN,83,60138
TN,KS,5,3750
TN,KY,59,85625
TN,LA,3,5000
TN,MA,8,6750
TN,MD,18,11583
TN,ME,4,1750
TN,MI,23,14600
TN,MN,116,59313
TN,MO,3,1750
TN,MS,14,16750
TN,MT,9,10645
TN,NC,39,44450
TN,ND,27,30364
TN,NE,11,10900
TN,NH,8,4600
TN,NJ,17,17000
TN,NM,15,14796
TN,NV,34,20420
TN,NY,25,26800
TN,OH,108,91467
TN,OK,1,250
TN,OR,13,5950
TN,PA,16,6100
TN,SC,9,6300
TN,SD,4,4000
TN,TX,37,31200
TN,UT,5,3250
TN,VA,36,31450
TN,VT,13,4051
TN,WA,17,11950
TN,WI,38,22395
TN,WV,2,1325
TX,AL,18,33750
TX,AR,122,99772
TX,AS,2,5000
TX,AZ,159,141265
TX,CA,315,320481
TX,CO,49,33950
TX,CT,35,21900
TX,DC,1,1000
TX,DE,10,9500
TX,FL,1105,695125
TX,GA,68,42468
TX,GU,2,750
TX,HI,80,61918
TX,IA,166,154456
TX,ID,7,3800
TX,IL,131,97165
TX,IN,396,357413
TX,KS,27,27050
TX,KY,318,501502
TX,LA,104,159648
TX,MA,45,44850
TX,MD,192,125070
TX,ME,6,12000
TX,MI,259,182829
TX,MN,725,429332
TX,MO,40,38348
TX,MS,11,7350
TX,MT,353,426842
TX,NC,79,72600
TX,ND,374,412385
TX,NE,116,118850
TX,NH,34,34400
TX,NJ,310,359750
TX,NM,369,388998
TX,NV,359,329000
TX,NY,202,139075
TX,OH,1060,1095539
TX,OK,25,13150
TX,OR,70,50024
TX,PA,112,89025
TX,SC,59,59231
TX,SD,45,31800
TX,TN,17,19500
TX,UT,137,73407
TX,VA,197,218474
TX,VT,57,28623
TX,WA,140,142410
TX,WI,449,286786
TX,WV,12,17800
TX,WY,11,8750
UT,AR,1,250
UT,AZ,36,30650
UT,CA,28,18300
UT,CO,14,12214
UT,CT,2,1250
UT,FL,25,15850
UT,GA,6,1670
UT,HI,8,4400
UT,IA,6,2700
UT,ID,5,2000
UT,IL,12,8050
UT,IN,12,6107
UT,KY,3,1200
UT,LA,3,2750
UT,MA,2,3000
UT,MD,1,500
UT,ME,2,600
UT,MI,8,3300
UT,MN,22,9950
UT,MO,2,1000
UT,MT,13,15350
UT,ND,15,7600
UT,NE,6,3050
UT,NH,7,4871
UT,NJ,3,4500
UT,NM,15,12443
UT,NV,41,32350
UT,NY,18,14075
UT,OH,73,60300
UT,OK,1,5000
UT,OR,6,2750
UT,PA,5,2250
UT,SD,6,3800
UT,TN,1,1000
UT,TX,17,13950
UT,VA,8,9500
UT,VT,5,2104
UT,WA,10,9300
UT,WI,48,42900
UT,WV,4,2400
UT,WY,2,1500
VA,AL,56,39746
VA,AR,51,50650
VA,AS,3,3500
VA,AZ,166,101617
VA,CA,726,541686
VA,CO,85,59400
VA,CT,79,55500
VA,DC,14,11200
VA,DE,60,43884
VA,FL,593,384102
VA,GA,147,85507
VA,GU,3,700
VA,HI,78,49700
VA,IA,99,53050
VA,ID,41,23400
VA,IL,234,139950
VA,IN,304,223440
VA,KS,54,42875
VA,KY,166,171901
VA,LA,63,40050
VA,MA,77,53633
VA,MD,176,125623
VA,ME,20,18100
VA,MI,318,241992
VA,MN,309,157052
VA,MO,84,72250
VA,MS,64,44200
VA,MT,235,185263
VA,NC,249,144368
VA,ND,222,131171
VA,NE,147,88099
VA,NH,104,64999
VA,NJ,239,191054
VA,NM,292,207333
VA,NV,321,205413
VA,NY,388,253134
VA,OH,720,601320
VA,OK,16,9976
VA,OR,127,84221
VA,PA,215,141112
VA,PR,6,3650
VA,RI,1,250
VA,SC,130,90176
VA,SD,75,62800
VA,TN,41,28375
VA,TX,409,288168
VA,UT,85,44950
VA,VT,26,8788
VA,WA,256,178951
VA,WI,325,172167
VA,WV,50,47600
VA,WY,4,3000
VI,AL,1,1500
VI,AZ,1,2500
VI,CA,3,4000
VI,CT,1,500
VI,FL,6,2500
VI,IA,1,250
VI,ID,1,500
VI,IL,1,2500
VI,KY,31,46500
VI,LA,1,1000
VI,ME,1,2500
VI,MI,3,6000
VI,MN,2,500
VI,MS,1,1000
VI,NJ,1,1000
VI,NV,1,2500
VI,NY,7,3450
VI,OH,4,4000
VI,PA,1,2500
VI,SC,2,5000
VI,TN,2,4000
VI,TX,1,1000
VI,UT,1,1000
VI,VA,3,3700
VI,WI,1,250
VI,WV,9,10500
VT,AZ,2,500
VT,CA,14,7600
VT,CT,5,2250
VT,FL,21,23150
VT,GA,1,35
VT,HI,2,3000
VT,IA,5,4000
VT,IL,12,11750
VT,IN,7,10636
VT,KS,1,500
VT,KY,3,1000
VT,MA,8,6000
VT,ME,1,250
VT,MI,10,5450
VT,MN,15,7723
VT,ND,3,2950
VT,NH,54,28100
VT,NJ,2,1250
VT,NM,9,12050
VT,NV,13,9900
VT,NY,11,3890
VT,OH,21,16200
VT,OR,2,1000
VT,PA,4,1200
VT,SC,1,1000
VT,TX,3,1500
VT,UT,2,750
VT,VA,13,18450
VT,WA,3,4000
VT,WI,50,37800
WA,AK,1,-1400
WA,AL,4,7000
WA,AR,12,5950
WA,AZ,58,30402
WA,CA,115,100028
WA,CO,30,25750
WA,CT,13,7482
WA,FL,217,96484
WA,GA,15,8236
WA,GU,1,1125
WA,HI,55,37591
WA,IA,22,9075
WA,ID,15,12250
WA,IL,66,38100
WA,IN,107,71975
WA,KY,37,34975
WA,LA,3,950
WA,MA,14,4140
WA,MD,13,8750
WA,ME,4,1050
WA,MI,70,40562
WA,MN,179,83161
WA,MO,11,22500
WA,MS,2,2000
WA,MT,57,51550
WA,NC,10,8750
WA,ND,66,41362
WA,NE,9,16800
WA,NH,20,10664
WA,NJ,23,14628
WA,NM,79,75061
WA,NV,92,54859
WA,NY,60,31876
WA,OH,259,163246
WA,OK,6,3000
WA,OR,141,107084
WA,PA,23,2264
WA,SC,16,17079
WA,SD,13,13250
WA,TN,2,3000
WA,TX,61,41066
WA,UT,22,16750
WA,VA,73,71463
WA,VT,53,25525
WA,WI,236,136756
WA,WV,3,5500
WA,WY,3,1700
WI,AR,5,4000
WI,AZ,13,8150
WI,CA,51,43310
WI,CO,4,3500
WI,CT,1,250
WI,DE,1,250
WI,FL,92,61100
WI,GA,7,4025
WI,HI,6,4050
WI,IA,34,20900
WI,IL,66,43570
WI,IN,35,15001
WI,KS,3,1500
WI,KY,4,6000
WI,MA,3,950
WI,MD,4,5000
WI,MI,29,18000
WI,MN,145,78472
WI,MO,6,1500
WI,MS,1,2000
WI,MT,15,15100
WI,NC,7,7500
WI,ND,20,15200
WI,NE,4,6400
WI,NH,4,1450
WI,NJ,14,17900
WI,NM,14,19400
WI,NV,27,14220
WI,NY,16,12150
WI,OH,114,88811
WI,OR,10,4100
WI,PA,14,13500
WI,SC,2,1000
WI,SD,10,6450
WI,TN,2,500
WI,TX,24,12500
WI,UT,12,6250
WI,VA,7,4200
WI,VT,32,9101
WI,WA,21,18535
WI,WV,2,1500
WI,WY,1,500
WV,AZ,5,1250
WV,CA,8,4465
WV,CT,4,8500
WV,FL,48,82875
WV,GA,14,13275
WV,HI,1,200
WV,IA,5,3750
WV,ID,9,8250
WV,IL,12,15050
WV,IN,18,18575
WV,KY,18,28350
WV,MD,2,3000
WV,MI,19,21400
WV,MN,10,5310
WV,MO,1,1000
WV,MT,25,29850
WV,NC,3,1250
WV,ND,19,16660
WV,NE,12,9150
WV,NH,2,500
WV,NJ,6,4000
WV,NM,17,16950
WV,NV,31,23553
WV,NY,1,250
WV,OH,110,130876
WV,PA,31,23050
WV,SC,1,500
WV,SD,13,15250
WV,TX,10,10451
WV,UT,3,1000
WV,VA,15,13300
WV,VT,3,3250
WV,WA,14,16000
WV,WI,16,5270
WY,AR,1,250
WY,AZ,18,14950
WY,CA,11,7450
WY,CO,12,18550
WY,CT,1,250
WY,DE,4,7750
WY,FL,25,16650
WY,GA,3,1280
WY,HI,2,3500
WY,IA,9,13937
WY,ID,1,250
WY,IL,7,9000
WY,IN,14,6700
WY,MA,3,3000
WY,MD,6,3211
WY,MI,11,3750
WY,MN,28,13887
WY,MT,18,18400
WY,NC,3,950
WY,ND,17,19500
WY,NE,3,2300
WY,NH,9,8750
WY,NJ,2,5000
WY,NM,31,33697
WY,NV,12,4374
WY,NY,14,2000
WY,OH,19,20300
WY,OK,1,1000
WY,PA,7,-4400
WY,SD,4,3800
WY,TN,3,6000
WY,TX,10,12250
WY,UT,11,14300
WY,VA,23,21050
WY,VT,3,750
WY,WA,13,11550
WY,WI,14,26500
WY,WV,2,5000
ZZ,AR,2,5000
ZZ,AZ,1,500
ZZ,CA,6,2700
ZZ,CT,2,500
ZZ,FL,17,6838
ZZ,GU,2,1500
ZZ,HI,11,10500
ZZ,IA,1,250
ZZ,IN,9,2250
ZZ,MA,1,250
ZZ,MD,1,250
ZZ,MI,5,675
ZZ,MN,3,1750
ZZ,MO,2,7500
ZZ,MP,3,3550
ZZ,MT,1,1000
ZZ,ND,1,1000
ZZ,NE,2,0
ZZ,NH,5,2250
ZZ,NJ,4,8500
ZZ,NM,2,3314
ZZ,NV,4,3842
ZZ,NY,8,16600
ZZ,OH,14,2100
ZZ,OR,1,500
ZZ,PA,2,1225
ZZ,SD,1,2500
ZZ,TX,8,3100
ZZ,UT,2,2000
ZZ,VA,38,44500
ZZ,VT,1,1469
ZZ,WA,2,400
ZZ,WI,15,6600
